"work","citedwork"
"https://semopenalex.org/work/W2796117568","https://semopenalex.org/work/W2793864687"
"https://semopenalex.org/work/W2796117568","https://semopenalex.org/work/W2776575854"
"https://semopenalex.org/work/W2898368042","https://semopenalex.org/work/W2808369584"
"https://semopenalex.org/work/W2898368042","https://semopenalex.org/work/W2889470010"
"https://semopenalex.org/work/W2898368042","https://semopenalex.org/work/W2789295321"
"https://semopenalex.org/work/W2902891490","https://semopenalex.org/work/W2739296931"
"https://semopenalex.org/work/W2902891490","https://semopenalex.org/work/W2742611741"
"https://semopenalex.org/work/W2894717949","https://semopenalex.org/work/W2791483720"
"https://semopenalex.org/work/W2894717949","https://semopenalex.org/work/W2790795290"
"https://semopenalex.org/work/W2894717949","https://semopenalex.org/work/W2796582438"
"https://semopenalex.org/work/W2894717949","https://semopenalex.org/work/W2774533844"
"https://semopenalex.org/work/W2894717949","https://semopenalex.org/work/W2792557198"
"https://semopenalex.org/work/W2894717949","https://semopenalex.org/work/W2811300508"
"https://semopenalex.org/work/W2894717949","https://semopenalex.org/work/W2787278337"
"https://semopenalex.org/work/W2894717949","https://semopenalex.org/work/W2792749598"
"https://semopenalex.org/work/W2894717949","https://semopenalex.org/work/W2785652708"
"https://semopenalex.org/work/W2894717949","https://semopenalex.org/work/W2807441367"
"https://semopenalex.org/work/W2894717949","https://semopenalex.org/work/W2793384645"
"https://semopenalex.org/work/W2896980868","https://semopenalex.org/work/W2808309912"
"https://semopenalex.org/work/W2884602597","https://semopenalex.org/work/W2802318973"
"https://semopenalex.org/work/W2900759511","https://semopenalex.org/work/W2775249831"
"https://semopenalex.org/work/W2900759511","https://semopenalex.org/work/W2793202885"
"https://semopenalex.org/work/W2900759511","https://semopenalex.org/work/W2789887104"
"https://semopenalex.org/work/W2900759511","https://semopenalex.org/work/W2775641726"
"https://semopenalex.org/work/W2900759511","https://semopenalex.org/work/W2795631779"
"https://semopenalex.org/work/W2900759511","https://semopenalex.org/work/W2790476549"
"https://semopenalex.org/work/W2900759511","https://semopenalex.org/work/W2799271795"
"https://semopenalex.org/work/W2900759511","https://semopenalex.org/work/W2797006512"
